;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
20;14.0;27.2;13.0;19.0;17.6;31.4;22.0;16.1;3.6;6.7;25.8;11.6;9.6;1.4;4.1;5.0;18.0;9.0;25.7;9.5;21.0;5.0;31.5;27.2;48.4;39.9;30.3;5.0;14.4;26.5;22.2;12.0;32.6;12.5;14.4;14.4;14.1;11.6;28.1;0.0;0.0;0.0;22.6;50.8;16.2;5.0;9.0;4.0;6.7;19.7;11.8;5.0;5.0;9.4;0.0;5.0;9.0;4.0;6.7;19.7;11.8;5.0;5.0;9.4;0.0;81.0;5.0;9.0;4.0;6.7;19.7;11.8;5.0;5.0;9.4;0.0;81.0;81.0;5.0;9.0;4.0;6.7;19.7;11.8;5.0;5.0;9.4;0.0;80.5;80.5;80.5;26.9;15.6;4.0;6.7;10.3;11.8;9.0;13.8;6.0;0.0;59.5;59.5;59.5;56.9
21;18.5;17.8;11.8;19.0;10.1;9.8;17.1;6.7;5.0;7.5;17.1;33.7;10.3;9.2;2.7;16.5;9.8;-1.3;25.5;22.5;17.7;27.5;11.1;8.1;24.6;12.1;7.0;8.4;26.8;11.1;8.1;22.2;16.0;37.1;8.4;9.7;18.5;1.4;0.7;14.8;20.7;9.2;5.8;7.1;9.7;17.1;1.4;0.7;26.7;20.7;9.2;-1.3;9.7;9.7;47.3;17.1;1.4;0.7;26.7;20.7;9.2;-1.3;9.7;9.7;47.3;71.1;17.1;1.4;0.7;26.7;20.7;9.2;-1.3;9.7;9.7;47.3;71.1;71.1;18.5;1.4;6.9;26.7;20.7;9.2;-1.3;7.1;9.7;43.2;57.5;57.5;57.5;19.2;1.4;0.7;26.7;20.7;9.2;-1.3;9.7;9.7;47.3;62.7;62.7;62.7;57.5
22;18.2;22.8;6.3;24.3;6.4;4.9;23.0;6.3;5.0;0.3;25.5;7.6;27.8;0.0;8.9;18.2;24.5;24.5;24.5;24.5;35.4;18.2;0.0;10.9;0.3;8.5;0.0;18.2;18.2;18.2;22.8;27.4;42.4;40.6;18.2;18.2;18.2;0.0;10.9;0.3;19.1;12.3;18.2;0.0;18.2;18.2;0.0;4.6;0.0;9.3;9.0;18.2;0.0;18.2;0.0;18.2;0.0;10.9;0.3;19.1;12.3;18.2;0.0;18.2;87.0;0.0;18.2;0.0;10.9;0.3;19.1;12.3;18.2;0.0;18.2;87.0;0.0;87.0;18.2;0.0;10.9;0.3;19.1;12.3;18.2;0.0;18.2;87.0;0.0;87.0;87.0;18.2;0.0;10.9;0.3;19.1;12.3;18.2;0.0;18.2;87.0;0.0;87.0;87.0;87.0
23;4.3;4.7;4.1;4.3;0.0;11.0;5.2;-0.1;0.7;7.6;12.4;6.7;12.4;2.0;1.3;8.5;0.4;21.5;3.8;4.2;31.7;4.3;0.4;-1.8;18.6;8.7;2.0;6.7;4.3;0.4;-1.8;18.6;8.7;2.0;6.7;86.8;4.3;0.4;-1.8;18.6;8.7;2.0;6.7;86.8;86.8;17.9;20.3;11.8;18.8;42.5;42.5;19.9;13.6;13.6;13.6;19.8;1.4;14.3;0.0;0.0;0.0;22.8;17.2;17.2;17.2;14.6;4.3;0.4;-1.8;18.6;8.7;2.0;6.7;86.8;86.8;86.8;13.6;17.2;4.3;0.4;-1.8;18.6;8.7;2.0;6.7;86.8;86.8;86.8;13.6;17.2;86.8;4.3;0.0;8.4;15.5;5.3;2.0;3.8;21.0;21.0;21.0;51.4;0.0;21.0;21.0
24;21.1;5.4;14.6;13.0;20.2;-0.8;13.0;14.9;3.8;18.3;5.4;26.7;17.5;7.5;7.5;4.1;14.7;3.8;19.3;27.4;42.9;9.7;12.9;4.7;22.5;13.6;41.6;5.2;10.6;12.9;3.9;35.8;17.9;17.0;5.2;5.2;8.2;10.5;10.1;18.8;19.4;12.3;12.6;4.3;13.2;5.4;7.7;1.7;26.8;19.4;12.3;0.0;5.2;5.2;58.7;5.4;7.7;1.7;26.8;19.4;12.3;0.0;5.2;5.2;58.7;69.7;5.4;7.7;1.7;26.8;19.4;12.3;0.0;5.2;5.2;58.7;69.7;69.7;15.8;7.7;3.7;18.2;12.1;0.0;7.7;4.3;12.9;32.4;53.6;53.6;53.6;15.8;10.5;1.7;26.8;19.4;12.3;0.0;5.2;8.9;58.7;61.9;61.9;61.9;48.7
25;14.1;14.1;90.5;21.0;17.7;17.7;2.8;2.3;2.3;0.0;-3.2;5.1;5.1;0.0;2.3;20.1;2.5;2.5;-2.4;-0.4;9.2;-0.7;2.5;2.5;11.7;16.3;-0.7;2.5;19.8;2.5;2.5;27.3;14.2;3.8;2.5;2.5;14.1;90.5;90.5;17.7;2.3;5.1;2.5;2.5;2.5;21.1;6.5;6.5;20.6;20.4;13.5;9.0;11.0;9.0;6.5;19.8;2.5;2.5;10.9;10.3;5.3;2.5;2.5;2.5;2.5;9.0;20.5;0.0;0.0;9.2;2.3;5.7;2.5;2.5;2.5;0.0;6.5;2.5;-3.2;73.4;73.4;9.3;2.3;2.3;9.0;-0.7;22.5;73.4;6.5;1.2;5.7;-3.2;72.8;72.8;9.3;2.3;5.1;2.5;2.5;2.5;72.8;6.5;2.5;2.5;67.4
26;7.1;-0.1;4.9;5.3;4.7;1.1;2.3;2.7;1.3;0.0;30.8;19.8;3.5;0.0;0.0;7.6;5.2;-2.2;0.0;15.3;0.0;11.8;9.4;-2.2;0.0;0.0;0.0;4.2;7.6;5.2;-2.2;0.0;15.3;0.0;82.5;4.2;7.6;5.2;-2.2;0.0;15.3;0.0;82.5;4.2;82.5;18.4;17.9;11.9;22.0;19.2;20.1;13.1;17.3;13.1;13.1;19.1;17.9;11.6;18.9;19.6;36.1;13.1;13.1;13.1;13.1;13.1;6.0;4.8;-0.3;10.0;8.9;7.4;5.5;9.7;5.5;5.5;17.9;17.9;3.7;3.9;2.4;0.0;2.0;0.0;16.3;0.0;16.3;16.3;19.1;19.8;1.0;7.6;5.2;-2.2;0.0;15.3;0.0;82.5;4.2;82.5;82.5;13.1;13.1;5.5;16.3
27;13.7;0.6;0.0;13.7;73.4;0.0;0.0;0.0;22.7;0.0;13.7;73.4;0.0;73.4;0.0;12.2;1.4;7.9;1.4;14.7;1.4;17.8;17.2;23.7;17.2;31.5;17.2;25.1;10.4;0.2;-2.0;0.2;13.8;0.2;-0.6;23.9;0.0;13.0;9.0;13.0;0.0;13.0;10.4;26.8;5.3;2.9;0.0;0.0;0.0;16.8;0.0;8.8;17.2;7.6;20.5;2.9;0.0;0.0;0.0;12.3;0.0;7.4;17.2;15.9;6.8;0.0;0.6;0.0;0.0;0.0;10.1;0.0;1.4;17.2;1.6;8.7;0.0;0.0;10.2;68.5;6.5;68.5;0.0;68.5;7.9;17.2;0.2;12.5;17.2;6.0;0.8;13.7;73.4;0.0;73.4;0.0;73.4;1.4;17.2;0.2;13.0;0.0;0.0;0.0;68.5
28;9.5;2.6;8.9;6.9;10.6;7.4;12.8;25.1;14.3;5.0;9.0;21.3;3.2;3.0;2.2;4.3;5.1;3.7;4.3;10.9;10.6;1.4;5.1;3.5;11.1;10.9;4.9;1.0;2.6;5.1;4.0;20.8;15.7;15.2;1.0;1.0;4.2;7.9;-0.2;16.2;16.2;3.0;9.2;-0.2;3.8;1.6;4.1;1.0;17.4;23.6;3.0;0.0;1.0;1.0;32.4;1.6;4.1;1.0;17.4;23.6;3.0;0.0;1.0;1.0;32.4;61.1;4.3;7.8;3.7;21.8;20.7;19.6;3.7;3.7;3.7;7.1;2.7;2.7;5.4;7.9;1.0;17.4;23.6;3.0;0.0;1.0;0.3;32.4;59.6;59.6;2.7;1.6;4.1;1.0;17.4;23.6;3.0;0.0;1.0;1.0;29.4;54.1;54.1;2.7;52.4
29;33.6;20.7;21.2;19.7;17.3;-0.5;18.9;36.1;0.8;0.0;20.6;39.5;13.9;0.0;0.9;12.2;29.2;21.3;18.7;22.9;27.7;16.6;21.4;11.7;32.5;9.3;19.0;16.6;16.6;21.4;5.0;40.8;24.5;34.0;33.6;4.4;25.4;21.3;3.3;1.2;2.0;0.9;16.0;26.4;14.0;16.6;21.4;-2.5;7.3;13.4;12.6;16.6;4.4;4.4;18.4;12.2;17.0;-0.5;1.2;2.5;0.9;12.2;4.4;4.4;28.7;0.0;12.2;17.0;-0.5;1.2;2.5;0.9;12.2;4.4;4.4;28.7;0.0;78.8;12.2;17.0;-0.5;1.2;2.5;0.9;12.2;4.4;4.4;28.7;0.0;78.8;78.8;12.2;17.0;-0.5;1.2;2.5;0.9;12.2;4.4;4.4;28.7;0.0;78.8;78.8;78.8
