;Unnamed: 0;atletas.nome;atletas.slug;atletas.apelido;atletas.foto;atletas.atleta_id;atletas.rodada_id;atletas.clube_id;atletas.posicao_id;atletas.status_id;atletas.pontos_num;atletas.preco_num;atletas.variacao_num;atletas.media_num;atletas.jogos_num;atletas.clube.id.full.name;A;DS;FC;FD;FF;FS;G;I;PI;CA;FT;SG;GC;GS;DD;DP;CV;PP;rodada
436;437;Igor Torres da Silva;igor-torres;Igor Torres;https://s.glbimg.com/es/sde/f/2020/10/18/52a78392e1a77e08ad5522dbd79cf15c_FORMATO.png;110303;30;356;ata;Nulo;0.0;1.02;0.0;1.5;2;356;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
437;438;Vinicius Alessandro Mingotti;vinicius-mingotti;Vinicius Mingotti;https://s.glbimg.com/es/sde/f/2019/07/19/72e2c4c729775230ecaf6dc50d64db45_FORMATO.png;105909;30;293;ata;Nulo;0.0;7.3;0.0;2.1;5;293;1.0;3.0;2.0;0.0;3.0;6.0;0.0;2.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
438;439;Marcos Antônio Almeida Silva;marcao-silva;Marcão Silva;https://s.glbimg.com/es/sde/f/2020/02/27/79ca1f19561511f316107b776b58d2e4_FORMATO.png;78856;30;292;mei;Provável;4.2;4.82;1.27;1.7;18;292;0.0;39.0;36.0;0.0;8.0;15.0;1.0;0.0;23.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
439;440;Luccas Claro dos Santos;luccas-claro;Luccas Claro;https://s.glbimg.com/es/sde/f/2020/08/11/1062c554fc9540ac0e4184be2cd0a557_FORMATO.png;73465;30;266;zag;Provável;2.7;6.49;-0.76;2.96;21;266;0.0;30.0;16.0;1.0;5.0;13.0;2.0;3.0;113.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
440;441;Luciano da Rocha Neves;luciano;Luciano;https://s.glbimg.com/es/sde/f/2020/08/18/3ca611370a41964d7e12a7d04a9474aa_FORMATO.png;80287;30;276;ata;Provável;0.0;9.35;0.0;6.17;20;276;1.0;25.0;23.0;5.0;11.0;33.0;11.0;5.0;90.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
441;442;Marcos da Silva França;keno;Keno;https://s.glbimg.com/es/sde/f/2020/08/31/1c7eb530ff0944a5fb26c266c76aac9c_FORMATO.png;86485;30;282;ata;Provável;4.4;14.06;0.87;6.76;25;282;5.0;40.0;32.0;26.0;29.0;43.0;10.0;22.0;248.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;rodada-30.csv
442;443;Raul Prata;raul-prata;Raul Prata;https://s.glbimg.com/es/sde/f/2020/02/27/9cee4ad663339179015a63de55e0cde2_FORMATO.png;84855;30;292;lat;Provável;0.9;4.68;0.3;3.12;8;292;0.0;10.0;5.0;1.0;0.0;4.0;0.0;0.0;37.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
443;444;Ronielson da Silva Barbosa;rony;Rony;https://s.glbimg.com/es/sde/f/2020/02/28/084ca5caaf485fd3cbf303cda6bbd8bf_FORMATO.png;91607;30;275;ata;Provável;0.0;9.63;0.0;3.41;17;275;0.0;22.0;32.0;10.0;13.0;26.0;4.0;9.0;68.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
444;445;Heron Crespo da Silva;heron;Heron;https://s.glbimg.com/es/sde/f/2020/08/26/4c288b07196f199d01bf56867451c668_FORMATO.jpeg;105339;30;290;zag;Provável;3.3;1.35;0.58;0.53;16;290;0.0;15.0;16.0;0.0;1.0;9.0;0.0;0.0;57.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
445;446;Guilherme Oliveira Santos;guilherme-santos;Guilherme Santos;https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png;50346;30;263;lat;Contundido;0.0;6.24;0.0;1.99;12;263;1.0;15.0;17.0;0.0;6.0;10.0;0.0;1.0;59.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
